                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3995,                 2.3084,                0.87543,                0.77211,                0.25253,                0.26057,                0.16055,                 1.1732,                 1.5756,                0.80851,              0.0001875,              0.0001875,              0.0001875
                      2,                 1.3358,                0.94199,                0.82557,                0.58205,                0.39725,                0.34638,                0.18435,                 1.2682,                 1.3825,                0.81307,             0.00038366,             0.00038366,             0.00038366
                      3,                 1.2486,                0.83779,                0.81607,                0.77005,                0.46163,                0.53588,                 0.3212,                 1.1505,                 1.2442,                0.80371,             0.00057587,             0.00057587,             0.00057587
                      4,                 1.1765,                0.76626,                0.81464,                0.71461,                0.41996,                 0.4271,                0.26046,                  1.108,                0.85798,                0.80966,             0.00076411,             0.00076411,             0.00076411
                      5,                  1.189,                0.72226,                0.81335,                 0.7986,                0.56371,                0.61309,                0.36939,                 1.1538,                0.72467,                0.80747,             0.00094839,             0.00094839,             0.00094839
                      6,                 1.1976,                 0.6743,                0.81241,                0.86122,                0.55482,                0.64624,                0.37854,                 1.1756,                 0.8676,                0.80752,              0.0011287,              0.0011287,              0.0011287
                      7,                 1.2121,                0.65502,                0.81732,                0.85932,                0.59586,                 0.6557,                0.38433,                 1.1279,                0.69725,                0.80488,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1993,                0.62742,                0.80894,                0.82858,                0.50558,                0.61322,                0.37264,                 1.1166,                0.63205,                0.80183,              0.0011634,              0.0011634,              0.0011634
                      9,                  1.217,                0.64252,                0.81464,                 0.7766,                0.55986,                0.55842,                0.32661,                  1.191,                0.67169,                0.80782,               0.001151,               0.001151,               0.001151
                     10,                 1.2046,                0.64101,                0.81187,                0.69815,                0.55578,                0.57853,                0.31897,                 1.2363,                0.68488,                0.81221,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.2656,                0.64648,                0.81886,                0.80769,                0.51742,                0.60293,                0.32275,                 1.3269,                0.78464,                0.82035,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2311,                0.62867,                  0.821,                0.81153,                0.53809,                0.60038,                0.35552,                 1.1876,                0.69572,                 0.8139,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1585,                0.60801,                0.80893,                0.72833,                0.67391,                0.69148,                0.41702,                 1.1902,                0.65766,                 0.8112,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1196,                0.59368,                0.80172,                0.75863,                0.67881,                0.69901,                0.45293,                0.99057,                0.58092,                0.79681,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.0658,                 0.5585,                0.80283,                0.89647,                0.63029,                0.74035,                0.46032,                 1.0096,                0.53349,                0.79429,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0865,                0.54905,                0.80577,                0.78193,                  0.661,                 0.7284,                 0.4734,                0.97052,                0.51911,                0.79442,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0172,                 0.5127,                 0.7998,                0.83895,                 0.6662,                0.72952,                0.45734,                 1.0476,                0.52848,                0.79774,               0.001052,               0.001052,               0.001052
                     18,                 1.0629,                0.53557,                 0.8022,                0.84825,                0.67323,                0.74001,                0.45532,                0.98137,                0.52209,                0.79435,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0245,                0.50854,                 0.7969,                0.78913,                0.67368,                0.74716,                0.45836,                 1.0136,                 0.5041,                0.79635,              0.0010273,              0.0010273,              0.0010273
                     20,                0.99595,                 0.4961,                 0.7973,                0.86919,                0.60936,                0.70181,                0.45032,                0.92877,                0.50711,                 0.7922,              0.0010149,              0.0010149,              0.0010149
                     21,                  1.001,                0.51285,                0.79003,                0.90254,                0.66417,                0.75654,                  0.485,                0.92744,                0.50226,                0.79279,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0194,                0.50284,                0.79598,                0.76823,                0.70844,                0.75081,                0.46413,                 1.0212,                0.54175,                0.79818,             0.00099013,             0.00099013,             0.00099013
                     23,                 0.9824,                0.49331,                0.79707,                0.78213,                 0.6865,                0.73521,                0.47122,                 0.9727,                0.50978,                 0.7927,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0423,                0.50699,                0.79674,                0.79348,                0.71456,                 0.7491,                0.46568,                 1.0329,                0.52483,                 0.7935,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0147,                0.49917,                0.79565,                0.78984,                0.67071,                0.72584,                0.47289,                0.95538,                0.48682,                0.79111,               0.000953,               0.000953,               0.000953
                     26,                 1.0149,                0.50393,                0.79759,                0.82724,                0.65489,                0.72973,                0.47204,                0.92843,                0.50189,                0.79106,             0.00094062,             0.00094062,             0.00094062
                     27,                0.97306,                0.48229,                0.79534,                0.83226,                0.68652,                0.74337,                0.48884,                 0.8912,                0.48109,                 0.7904,             0.00092825,             0.00092825,             0.00092825
                     28,                0.98975,                 0.4754,                0.79453,                0.85913,                0.70645,                0.77602,                0.49713,                0.93479,                0.49275,                0.79348,             0.00091588,             0.00091588,             0.00091588
                     29,                0.98633,                0.47873,                0.79267,                0.85642,                0.67939,                0.77605,                0.49334,                0.92176,                0.47507,                0.79133,              0.0009035,              0.0009035,              0.0009035
                     30,                 0.9894,                0.47777,                0.79446,                0.92598,                0.69469,                0.78209,                0.50129,                0.95513,                0.47876,                0.79275,             0.00089112,             0.00089112,             0.00089112
                     31,                0.95959,                0.47048,                0.79467,                 0.9165,                0.63253,                0.73274,                0.47065,                0.93503,                0.50939,                 0.7924,             0.00087875,             0.00087875,             0.00087875
                     32,                0.96019,                0.46859,                0.79204,                 0.8616,                 0.6446,                0.70025,                0.46689,                0.93642,                0.51386,                0.79134,             0.00086637,             0.00086637,             0.00086637
                     33,                0.98207,                0.47154,                0.79206,                0.92336,                0.70129,                0.76943,                0.51696,                0.91491,                0.48673,                0.78911,               0.000854,               0.000854,               0.000854
                     34,                0.94225,                0.46504,                0.78905,                0.88186,                0.75015,                 0.7904,                0.52024,                0.91867,                0.47154,                0.78862,             0.00084162,             0.00084162,             0.00084162
                     35,                 0.9788,                0.48033,                0.79344,                0.90877,                0.67567,                0.78088,                0.50364,                0.94815,                0.50277,                0.79179,             0.00082925,             0.00082925,             0.00082925
                     36,                0.99677,                0.49439,                0.79202,                0.90419,                0.70508,                0.79087,                0.51857,                0.90073,                0.46924,                0.78974,             0.00081688,             0.00081688,             0.00081688
                     37,                0.97148,                0.47327,                0.79268,                0.84965,                0.74175,                0.79793,                0.51179,                0.90905,                0.46392,                  0.791,              0.0008045,              0.0008045,              0.0008045
                     38,                 0.9794,                0.47571,                0.79038,                  0.819,                0.75626,                0.79199,                0.53457,                 0.9019,                0.45217,                0.78982,             0.00079213,             0.00079213,             0.00079213
                     39,                0.91831,                0.45839,                0.79205,                0.92289,                0.64261,                 0.7737,                0.50557,                0.95282,                0.48792,                0.79075,             0.00077975,             0.00077975,             0.00077975
                     40,                0.99888,                0.47867,                0.79208,                0.88011,                0.73172,                0.79087,                0.52608,                 0.9197,                0.47685,                0.79314,             0.00076738,             0.00076738,             0.00076738
                     41,                0.96949,                0.46355,                0.79169,                0.86877,                0.68338,                 0.7816,                0.50757,                0.93739,                0.46906,                  0.793,               0.000755,               0.000755,               0.000755
